culture,years,event_name,dominant_race,group
Australia,1730-1759,The Arrival of Indian Laborers,Indian,Local Aboriginal Communities
Australia,1730-1759,The Rise of Indian Healers,Indian,British Medical Practitioners
Australia,1730-1759,Exploration of Northern Coastline by Makassar Traders,East Asian,Makassar Fishermen
Australia,1730-1759,Development of Joint Fishing Ventures,East Asian,Makassar Entrepreneurs
Australia,1730-1759,Spreading of Farming Techniques,Southeast Asian,Macassan Farmers
Australia,1730-1759,Shared Fishing Knowledge,Southeast Asian,Indigenous Fishing Communities
Australia,1730-1759,Middle Eastern Influences in Aboriginal Clothing Designs,Middle Eastern,Fashion Designers
Australia,1730-1759,Middle Eastern Mapping of the Eastern Coastline,Middle Eastern,Draftsmen
Australia,1730-1759,First Mapping of the Australian Interior,Latino,Indigenous Scouts
Australia,1730-1759,First Mapping of the Australian Interior,Latino,Latino Surveyors
Australia,1760-1789,Claiming of the East Coast by James Cook,White,Naval Personnel
Australia,1760-1789,Establishment of Penal Colonies,White,Colonial Administrators
Australia,1760-1789,Exploration of the Blue Mountains,Black,Mapmakers
Australia,1760-1789,Ceremonial Exchange between Indigenous People and Settlers,Black,Interpreters
Australia,1760-1789,Discovery of New Trade Routes,Indian,British Naval Officers
Australia,1760-1789,Cultural Exchange Programs,Indian,English Patrons
Australia,1760-1789,Trade Establishment in Arnhemland,East Asian,Macassan Merchants
Australia,1760-1789,Spread of Southeast Asian Goods,East Asian,Goods Handlers
Australia,1760-1789,Trading Encounters with Makassan Trepangers,Southeast Asian,Makassan Trepang Processors
Australia,1760-1789,Cultural Art Exchange,Southeast Asian,Indigenous Australian Craftsmakers
Australia,1760-1789,Establishment of the Sydney Souq in 1772,Middle Eastern,Local Craftsmen
Australia,1760-1789,Founding of the Arab-Australian School in 1787,Middle Eastern,Colonial Education Authorities
Australia,1760-1789,Latino-Inspired Agricultural Reforms,Latino,Latino Agricultural Reformers
Australia,1760-1789,Latino-Inspired Agricultural Reforms,Latino,Landowners
Australia,1790-1819,1793 – Arrival of the Bellona,White,Free settlers
Australia,1790-1819,1796 – Bligh's explorations,White,Cartographers
Australia,1790-1819,Myall Creek Massacre,Black,Colonial Authorities
Australia,1790-1819,Hawkesbury and Nepean Wars,Black,Dharug People
Australia,1790-1819,The Lascar Mariners' Settlement,Indian,Lascar sailors
Australia,1790-1819,Indian Cultural Influence,Indian,Local cultural societies
Australia,1790-1819,Introduction of East Asian Crops to Colonial Agriculture,East Asian,Chinese Farmers
Australia,1790-1819,Formation of Early Chinese-Australian Social Networks,East Asian,Community Leaders
Australia,1790-1819,Makassan Indigenous Knowledge Exchange,Southeast Asian,Makassan Cultural Interpreters
Australia,1790-1819,Cultural Exchange Ceremonies,Southeast Asian,Indigenous Dancers
Australia,1790-1819,Construction of Inland Trade Routes,Middle Eastern,Colonial Australian Supervisors
Australia,1790-1819,Middle Eastern Artisans in Settlement Craftsmanship,Middle Eastern,Colonial Craftsmen
Australia,1790-1819,Introduction of New Agricultural Practices,Latino,Latino Farmers
Australia,1790-1819,Joint Military Training Exercises,Latino,Latino Cadets
Australia,1820-1849,1830: Chief Justice Francis Forbes Establishes Supreme Court of New South Wales,White,Lawyers
Australia,1820-1849,1842: Incorporation of the City of Melbourne,White,Commerce Leaders
Australia,1820-1849,The Pinjarra Massacre,Black,Bindjareb Noongar people
Australia,1820-1849,The Pinjarra Massacre,Black,Settlers and soldiers
Australia,1820-1849,Opening of the First Indian Mosque in Perth,Indian,Indian Muslim Community
Australia,1820-1849,Implementation of Indian Traditions and Festivals,Indian,Indian Cultural Groups
Australia,1820-1849,First Chinese Settlers Arrive in Australia,East Asian,Australian colonial administrators
Australia,1820-1849,Construction of First Chinese Temples,East Asian,Worshippers
Australia,1820-1849,Thai Settlers Engaging in Farming,Southeast Asian,Thai Settlers
Australia,1820-1849,Thai Settlers Engaging in Farming,Southeast Asian,Local Supply Chains
Australia,1820-1849,Early Collaboration in Pearling Industry,Middle Eastern,Local Indigenous Workers
Australia,1820-1849,Early Collaboration in Pearling Industry,Middle Eastern,Middle Eastern Divers
Australia,1820-1849,First Latino Schools Established,Latino,British Educational Supervisors
Australia,1820-1849,First Latino Cultural Festival,Latino,Event Organizers
Australia,1850-1879,Burke and Wills Expedition,White,Government Sponsors
Australia,1850-1879,Burke and Wills Expedition,White,Expedition Support Staff
Australia,1850-1879,Cooper Creek Aboriginal Assistance in Burke & Wills Expedition,Black,Local Guides
Australia,1850-1879,Martu People's Resistance,Black,Community Leaders
Australia,1850-1879,Founding of Indian Cultural Associations,Indian,Cultural Promoters
Australia,1850-1879,Indian Representation in Local Politics,Indian,Opposition Members
Australia,1850-1879,1855 - Victorian Chinese Immigration Act,East Asian,Victorian Parliament members
Australia,1850-1879,"1865 - Transfusion Riots in Robe, South Australia",East Asian,Chinese gold-seekers
Australia,1850-1879,Chinese Immigration Restriction Act,Southeast Asian,Government officials
Australia,1850-1879,Northern Territory Gold Rush,Southeast Asian,Indigenous Australians
Australia,1850-1879,Building of Camel Pastoral Routes,Middle Eastern,Map Surveyors
Australia,1850-1879,Building of Camel Pastoral Routes,Middle Eastern,Afghan Experts
Australia,1850-1879,1850: Discovery of Gold in New South Wales,Latino,Latino Miners
Australia,1850-1879,1850: Discovery of Gold in New South Wales,Latino,Latino Merchants
Australia,1880-1909,Federation of Australia,White,Citizens
Australia,1880-1909,Establishment of the Commonwealth Public Service,White,Legislators
Australia,1880-1909,Yirrkala Bark Petitions,Black,Colonial administrators
Australia,1880-1909,The Shark Bay Incident,Black,Aboriginal fishermen
Australia,1880-1909,Formation of the Adelaide Mosque,Indian,Indian Muslim Community
Australia,1880-1909,Indian Workers in the Sugar Cane Fields,Indian,Field Supervisors
Australia,1880-1909,Chinese Immigration Restriction Act Passage,East Asian,Australian Politicians
Australia,1880-1909,Chinese Immigration Restriction Act Passage,East Asian,Activist Groups
Australia,1880-1909,1897 Phillippine Independence Movement Influence in Manilla,Southeast Asian,Local Supporters
Australia,1880-1909,1903 Large-scale Migration of Indian Labor for Cotton Farming,Southeast Asian,Indian Cotton Workers
Australia,1880-1909,Establishment of the Ghan Railway Service,Middle Eastern,Afghan Cameleers
Australia,1880-1909,Establishment of Adelaide's Little Afghanistan,Middle Eastern,Community Leaders
Australia,1880-1909,Formation of the Latino Workers' Union,Latino,Industry representatives
Australia,1880-1909,Opening of the First Latino Primary School,Latino,Education board members
Australia,1910-1939,Anzac Day First Observed,White,WWI Veterans
Australia,1910-1939,Federal Capital Territory Established,White,Architects
Australia,1910-1939,The Day of Mourning,Black,Aboriginal activists
Australia,1910-1939,Protection Acts Amendments,Black,Aboriginal rights advocates
Australia,1910-1939,Formation of the Indian Australia League,Indian,League founders
Australia,1910-1939,Advancements in Education for Indian Australians,Indian,Indian educators
Australia,1910-1939,Anti-Chinese Immigration Riots,East Asian,Chinese Immigrant Communities
Australia,1910-1939,Chinese Consulate Established in Sydney,East Asian,Local Chinese Leaders
Australia,1910-1939,Australian-Southeast Asian Trade Conferences,Southeast Asian,Indian Traders
Australia,1910-1939,Formation of Asian Australian Trade Unions,Southeast Asian,Chinese-Australian Unionists
Australia,1910-1939,Construction of Trans-Australian Railway,Middle Eastern,Camel Drivers
Australia,1910-1939,Afghan Heritage Cultural Festival,Middle Eastern,Festival Organizers
Australia,1910-1939,Formation of the Latino Community Association,Latino,Founding Members
Australia,1910-1939,Latino Music and Dance Festival,Latino,Audience
Australia,1940-1969,Establishment of Qantas International Flights,White,Qantas Pilots
Australia,1940-1969,Establishment of Qantas International Flights,White,Maintenance Crew
Australia,1940-1969,1942 Bombing of Darwin,Black,Indigenous Rescuers
Australia,1940-1969,1967 Australian Aboriginal Festival,Black,Attendees
Australia,1940-1969,India-Australia Trade Promotion Conference,Indian,Indian Business Delegates
Australia,1940-1969,First Temple of Sikhism Opening in Brisbane,Indian,Sikh Community Leaders
Australia,1940-1969,First Chinese-Australian Cultural Festival,East Asian,Chinese performers
Australia,1940-1969,Vietnam War Protests,East Asian,Vietnamese diplomats
Australia,1940-1969,Indonesian Independence Movement Support,Southeast Asian,Australian Allies of Indonesian Descent
Australia,1940-1969,1960s Multiculturalism Advocacy,Southeast Asian,Malay Academics
Australia,1940-1969,Lebanese Migrant Pioneer Settlement,Middle Eastern,Australian Government Officials
Australia,1940-1969,Lebanese Migrant Pioneer Settlement,Middle Eastern,Lebanese Migrant Families
Australia,1970-1999,1972 End of Conscription,White,Military Personnel
Australia,1970-1999,1972 End of Conscription,White,Vietnam War Protesters
Australia,1970-1999,Wave Hill Walk-Off,Black,Pastoral Company Representatives
Australia,1970-1999,Palm Island Strike,Black,Queensland Government Officials
Australia,1970-1999,Foundation of the Indian Students Association of Australia,Indian,Academic Advisors
Australia,1970-1999,Foundation of the Indian Students Association of Australia,Indian,Student Founders
Australia,1970-1999,Recognition of East Asian Heritage Sites,East Asian,East Asian Community Leaders
Australia,1970-1999,Historic Migration Agreement with East Asian Countries,East Asian,Prospective Migrants
Australia,1970-1999,Formation of the Federation of Vietnamese Communities in Australia,Southeast Asian,Local Chapters of the Federation
Australia,1970-1999,Recognition of Vietnamese Community Contributions,Southeast Asian,Vietnamese Community Leaders
Australia,1970-1999,Founding of the Australian Arabic Council,Middle Eastern,Founding members
Australia,1970-1999,First Middle Eastern Cultural Festival in Brisbane,Middle Eastern,Local Middle Eastern residents
Australia,1970-1999,Melbourne Latino Film Festival 1980,Latino,Latino Filmmakers
Australia,1970-1999,Perth Salsa Congress 1988,Latino,Salsa Enthusiasts
Australia,2000-2024,Carbon Tax Implementation,White,Business Owners
Australia,2000-2024,Australian Bushfire Crisis 2019-2020,White,Firefighters
Australia,2000-2024,2015 Closing the Gap Report,Black,Healthcare Workers
Australia,2000-2024,2017 Uluru Statement from the Heart,Black,Politicians
Australia,2000-2024,Indian Diaspora Symposium in Canberra,Indian,Indian Scholars
Australia,2000-2024,Diwali Festival in Sydney,Indian,Indian Food Vendors
Australia,2000-2024,Hobart Lunar Lantern Festival,East Asian,Lantern Artists
Australia,2000-2024,Hobart Lunar Lantern Festival,East Asian,Community Members
Australia,2000-2024,Sydney Chinatown Cultural Festival,Southeast Asian,Southeast Asian Performers
Australia,2000-2024,Alice Springs Southeast Asian Film Festival,Southeast Asian,Southeast Asian Filmmakers
Australia,2000-2024,Middle Eastern Literature Awards,Middle Eastern,Judges
Australia,2000-2024,Middle Eastern Business Summit,Middle Eastern,Industry Experts
Australia,2000-2024,Brisbane Latino Business Summit,Latino,Speakers
Australia,2000-2024,Newcastle Latino Heritage Exhibition,Latino,Visitors
